alloc_id,heat_id,edge,scheme,f_from,f_to,d_median_cagr,d_p95_dd,d_p99_dd,d_P_dd_ge_10,d_P_dd_ge_20,d_median_dur,inc_ret_per_p95_dd,inc_ret_per_p95_dd_flag,inc_ret_per_p99_dd,inc_ret_per_p99_dd_flag
A0_50_50,H1-1.00-REJ,0.5,episode,0.25,0.5,0.006602756108704533,0.058111034350167866,0.0711882478512409,0.1214,0.0003,3.0,0.1136231041581083,OK,0.09275064786679448,OK
A0_50_50,H1-1.00-REJ,0.5,episode,0.5,0.75,0.006287661511237719,0.05517053877709556,0.06602497276565264,0.2928,0.0172,4.0,0.11396773804659827,OK,0.09523156538897766,OK
A0_50_50,H1-1.00-REJ,0.5,episode,0.75,1.0,0.005972630616642327,0.0523086381162822,0.061664236289636964,0.2718,0.0833,3.0,0.11418057957014974,OK,0.09685728675190067,OK
A0_50_50,H1-1.00-REJ,0.5,episode,1.0,1.5,0.010802116047124444,0.09613414074185878,0.11099344333492883,0.26480000000000004,0.2773,7.0,0.1123650345628042,OK,0.09732210950991459,OK
A0_50_50,H1-1.00-REJ,0.5,episode,1.5,2.0,0.009384437134748791,0.08566536442785316,0.09585730763082101,0.04399999999999993,0.27480000000000004,7.0,0.10954762403015639,OK,0.09790007008011783,OK
A0_50_50,H1-1.00-REJ,0.5,episode,2.0,3.0,0.014206990043819201,0.14610757486908216,0.1531928675418079,0.0046000000000000485,0.2883,12.0,0.09723650574961082,OK,0.09273923957289963,OK
A0_50_50,H1-1.00-REJ,0.5,iid,0.25,0.5,0.00727326356932867,0.05539883011267326,0.0669397151494658,0.086,0.0005,4.5,0.13128911846217503,OK,0.1086539366516368,OK
A0_50_50,H1-1.00-REJ,0.5,iid,0.5,0.75,0.006955685193522632,0.053008434866832196,0.06316804760097341,0.26449999999999996,0.011,3.5,0.13121846006200155,OK,0.1101139810028804,OK
A0_50_50,H1-1.00-REJ,0.5,iid,0.75,1.0,0.006641476480849118,0.05039773713369952,0.059450615219533015,0.28350000000000003,0.059,3.0,0.13178124373382138,OK,0.11171417581339012,OK
A0_50_50,H1-1.00-REJ,0.5,iid,1.0,1.5,0.012202363111201375,0.09331417167351189,0.108200888018668,0.28900000000000003,0.2445,6.5,0.1307664515728122,OK,0.11277507361211388,OK
A0_50_50,H1-1.00-REJ,0.5,iid,1.5,2.0,0.010740264147758527,0.0850807745556652,0.09386491511312933,0.06999999999999995,0.284,4.5,0.12623608804515019,OK,0.11442256283739222,OK
A0_50_50,H1-1.00-REJ,0.5,iid,2.0,3.0,0.01701874629039879,0.1425073148423971,0.15119509622751104,0.006000000000000005,0.30900000000000005,12.5,0.11942366824622516,OK,0.11256149647069114,OK
A0_50_50,H1-1.00-REJ,0.25,block,0.25,0.5,-0.052186370230233425,0.15590904772940198,0.1664074525093295,0.01770000000000005,0.9440000000000001,0.0,-0.3347231670660246,OK,-0.3136059680218206,OK
A0_50_50,H1-1.00-REJ,0.25,block,0.5,0.75,-0.04952726074281333,0.12624926780564255,0.13180742567698256,0.0,0.029200000000000004,0.0,-0.3922974097486193,OK,-0.3757547079645471,OK
A0_50_50,H1-1.00-REJ,0.25,block,0.75,1.0,-0.04698645380853228,0.10215036799504051,0.10427848290302977,0.0,0.0004999999999999449,0.0,-0.4599734169417139,OK,-0.45058628108567456,OK
A0_50_50,H1-1.00-REJ,0.25,block,1.0,1.5,-0.0868175641247696,0.14924721309809896,0.14756211884068637,0.0,0.0,0.0,-0.5817030839142379,OK,-0.5883458763458196,OK
A0_50_50,H1-1.00-REJ,0.25,block,1.5,2.0,-0.07805672426533788,0.09728528882717247,0.09191531632638328,0.0,0.0,0.0,-0.8023486922468394,OK,-0.8492243445930737,OK
A0_50_50,H1-1.00-REJ,0.25,block,2.0,3.0,-0.13293774899710614,0.10389770471407855,0.09238804579372695,0.0,0.0,0.0,-1.279506119629345,OK,-1.438906385074036,OK
A0_50_50,H1-1.00-REJ,0.25,episode,0.25,0.5,-0.05230177066059699,0.15499348087611212,0.1646531014454614,0.01639999999999997,0.9497,0.0,-0.3374449710075376,OK,-0.31764825685910986,OK
A0_50_50,H1-1.00-REJ,0.25,episode,0.5,0.75,-0.04962107193358545,0.12577727296204144,0.13089834081185886,0.0,0.02839999999999998,0.0,-0.3945154062018874,OK,-0.37908098472314616,OK
A0_50_50,H1-1.00-REJ,0.25,episode,0.75,1.0,-0.04708614901785202,0.1019413412356242,0.10397380778317689,0.0,9.999999999998899e-05,0.0,-0.4618945409891997,OK,-0.4528654862390317,OK
A0_50_50,H1-1.00-REJ,0.25,episode,1.0,1.5,-0.0869502893937511,0.14928380540237063,0.14794537447854939,0.0,0.0,0.0,-0.5824495775639594,OK,-0.5877188773235896,OK
A0_50_50,H1-1.00-REJ,0.25,episode,1.5,2.0,-0.07813218053511983,0.09769237727795055,0.09286606858110491,0.0,0.0,0.0,-0.799777656273234,OK,-0.8413426101577974,OK
A0_50_50,H1-1.00-REJ,0.25,episode,2.0,3.0,-0.1329784549875968,0.1050633968022332,0.09429271207581891,0.0,0.0,1.0,-1.265697274550429,OK,-1.4102728838753886,OK
A0_50_50,H1-1.00-REJ,0.25,iid,0.25,0.5,-0.05261899410234622,0.15478864069622997,0.1629600910148517,0.009499999999999953,0.964,0.0,-0.33994092761373934,OK,-0.3228949724724361,OK
A0_50_50,H1-1.00-REJ,0.25,iid,0.5,0.75,-0.04992050551826821,0.1256333470588622,0.13004626012229753,0.0,0.017000000000000015,0.0,-0.3973507566814985,OK,-0.3838672905420132,OK
A0_50_50,H1-1.00-REJ,0.25,iid,0.75,1.0,-0.047349933057173055,0.10188401315603307,0.10368766292036224,0.0,0.0,0.0,-0.46474350185497404,OK,-0.4566592757861692,OK
