entry_z,model,result,best_pnl,final_pnl,giveback,capture_ratio,conv_min,speed,prev_profitable_loser
2.5,TB-C-5%,TP_HIT,23.55218935576254,19.069768401476292,4.482420954286248,0.8096813469619321,95.0,early,False
2.5,TB-C-10%,TP_HIT,21.789054518687156,20.09429280161069,1.6947617170764673,0.9222195843503456,95.0,early,False
2.5,TB-B,TP_HIT,28.0146088151749,28.104819555231888,-0.09021074005698893,1.0032201320622447,315.0,slow,False
2.5,TB-C-2.5%,TP_HIT,26.135185579448407,26.22258526454412,-0.08739968509571128,1.0033441386834627,315.0,slow,False
2.5,TB-C-5%,TP_HIT,24.19392220075304,24.278422658093692,-0.0845004573406527,1.0034926316055535,315.0,slow,False
2.5,TB-C-10%,TP_HIT,20.311395443362297,20.39009744519282,-0.07870200183052134,1.0038747707930742,315.0,slow,False
2.5,TB-B,TIMEOUT,2.9795040281652234,-32.68347553708496,35.66297956525018,-10.969434922097227,365.0,slow,True
2.5,TB-C-2.5%,TIMEOUT,3.1696488673133807,-36.30704186986286,39.47669073717624,-11.454594306730572,365.0,slow,True
2.5,TB-C-5%,TIMEOUT,3.3633642570626296,-39.864520054142005,43.22788431120463,-11.852572902394284,365.0,slow,True
2.5,TB-C-10%,TIMEOUT,3.7507950365611364,-46.979476422700245,50.73027145926138,-12.525204913828807,365.0,slow,True
2.5,TB-B,TP_HIT,31.067550054282865,31.010069808054585,0.05748024622828041,0.9981498300919175,120.0,early,False
2.5,TB-C-2.5%,TP_HIT,31.7643077537514,31.706568099388736,0.05773965436266337,0.998182247357308,120.0,early,False
2.5,TB-C-5%,TP_HIT,32.524465672273294,32.46640467555011,0.0580609967231851,0.9982148516348208,120.0,early,False
2.5,TB-C-10%,TP_HIT,34.04478150931706,33.98607782787283,0.05870368144422855,0.9982756922253073,120.0,early,False
2.5,TB-B,TIMEOUT,21.089034146393683,18.32071169262493,2.7683224537687536,0.8687316624103362,135.0,early,False
2.5,TB-C-2.5%,TIMEOUT,20.263798359077033,16.982212404190495,3.2815859548865376,0.838056720821219,135.0,early,False
2.5,TB-C-5%,TIMEOUT,19.44951272608621,15.683746328199696,3.7657663978865124,0.8063824810975462,135.0,early,False
2.5,TB-C-10%,TIMEOUT,17.820941460104567,13.086814176218127,4.7341272838864406,0.7343503263009618,135.0,early,False
2.5,TB-B,TIMEOUT,-4.811923652981269,-16.920972932891733,12.109049279910463,,65.0,early,False
2.5,TB-C-2.5%,TIMEOUT,-5.106877667860339,-17.229618875339156,12.122741207478818,,65.0,early,False
2.5,TB-C-5%,TIMEOUT,-5.399900155156068,-17.521505488450437,12.121605333294369,,65.0,early,False
2.5,TB-C-10%,TIMEOUT,-5.9859451297475195,-18.105278714672956,12.119333584925435,,65.0,early,False
2.5,TB-B,TP_HIT,31.2992078281691,31.348705351152294,-0.0494975229831951,1.0015814305350772,240.0,slow,False
2.5,TB-C-2.5%,TP_HIT,31.29828224063883,31.347192092266017,-0.04890985162718664,1.0015627008297496,240.0,slow,False
2.5,TB-C-5%,TP_HIT,31.248781314580892,31.297058382374093,-0.048277067793200956,1.00154492641832,240.0,slow,False
2.5,TB-C-10%,TP_HIT,31.149779462465087,31.196790962590303,-0.04701150012521538,1.0015092081207786,240.0,slow,False
2.5,TB-B,TIMEOUT,27.339729995046998,27.265631919153517,0.07409807589348105,0.9972897290533994,320.0,slow,False
2.5,TB-C-2.5%,TIMEOUT,25.834284695953034,25.76132239575009,0.07296230020294558,0.9971757569036013,320.0,slow,False
2.5,TB-C-5%,TIMEOUT,24.400614588832465,24.2951948907856,0.10541969804686602,0.9956796293936336,320.0,slow,False
2.5,TB-C-10%,TIMEOUT,21.690263293945822,21.362939880856608,0.3273234130892142,0.9849092005637121,320.0,slow,False
2.5,TB-B,TP_HIT,24.567980304911362,24.53740252003369,0.030577784877671377,0.9987553806011658,130.0,early,False
2.5,TB-C-2.5%,TP_HIT,24.966026587560446,24.93530210201647,0.030724485543977664,0.9987693482005948,130.0,early,False
2.5,TB-C-5%,TP_HIT,25.396445959517973,25.365554583064988,0.030891376452984787,0.9987836338792355,130.0,early,False
