date,time,open,high,low,close,tickvol,spread
2021.10.27,05:00:00,4178.41,4225.72,4170.21,4209.1,6707.0,41.0
2021.10.27,06:00:00,4209.1,4303.43,4203.99,4280.96,8687.0,42.0
2021.10.27,07:00:00,4280.74,4300.18,4262.93,4273.52,6450.0,42.0
2021.10.27,08:00:00,4273.52,4284.33,4234.28,4239.15,3411.0,42.0
2021.10.27,09:00:00,4239.15,4244.4,4132.93,4134.44,8175.0,41.0
2021.10.27,10:00:00,4134.24,4134.99,3936.14,4043.56,24098.0,39.0
2021.10.27,11:00:00,4042.76,4042.92,3984.89,4015.6,16557.0,39.0
2021.10.27,12:00:00,4015.6,4024.11,3969.62,4019.18,17820.0,39.0
2021.10.27,13:00:00,4019.18,4031.8,3990.19,3996.06,14148.0,39.0
2021.10.27,14:00:00,3996.07,4021.38,3971.3,4012.84,15882.0,39.0
2021.10.27,15:00:00,4012.78,4023.68,3993.29,3998.66,14036.0,39.0
2021.10.27,16:00:00,3998.67,4038.48,3975.07,4013.9,12574.0,39.0
2021.10.27,17:00:00,4013.9,4034.0,3983.33,3992.61,11041.0,39.0
2021.10.27,18:00:00,3992.25,4008.65,3949.8,3978.4,12459.0,39.0
2021.10.27,19:00:00,3978.4,4004.08,3976.33,3987.02,9127.0,39.0
2021.10.27,20:00:00,3987.03,4007.54,3965.7,3969.24,7199.0,39.0
2021.10.27,21:00:00,3969.24,4005.04,3938.44,3999.14,7887.0,39.0
2021.10.27,22:00:00,3999.14,4024.84,3960.74,3980.03,6092.0,39.0
2021.10.27,23:00:00,3980.03,4010.95,3972.26,3993.9,5885.0,39.0
2021.10.28,00:00:00,3986.34,4291.84,3890.14,3975.02,119376.0,0
2021.10.28,01:00:00,3975.06,3983.8,3913.34,3922.94,8391.0,39.0
2021.10.28,02:00:00,3922.84,3969.74,3915.04,3915.14,6973.0,39.0
2021.10.28,03:00:00,3915.14,3996.74,3892.34,3995.54,7999.0,39.0
2021.10.28,04:00:00,3996.24,3997.5,3968.55,3996.88,8107.0,39.0
2021.10.28,05:00:00,3996.89,4020.95,3975.29,3996.24,8589.0,39.0
2021.10.28,06:00:00,3996.24,4019.24,3984.44,3995.34,7051.0,39.0
2021.10.28,07:00:00,3995.34,4020.89,3991.12,4020.32,6489.0,39.0
2021.10.28,08:00:00,4020.31,4035.94,3981.24,4022.04,6542.0,40.0
2021.10.28,09:00:00,4022.24,4040.64,4006.67,4008.94,7031.0,40.0
2021.10.28,10:00:00,4009.14,4141.04,4008.84,4135.14,8541.0,40.0
2021.10.28,11:00:00,4135.54,4161.71,4107.86,4161.68,7803.0,41.0
2021.10.28,12:00:00,4161.68,4173.97,4137.44,4147.84,7649.0,41.0
2021.10.28,13:00:00,4148.64,4157.44,4117.52,4152.44,7224.0,41.0
2021.10.28,14:00:00,4152.54,4189.74,4137.34,4176.44,5436.0,41.0
2021.10.28,15:00:00,4176.54,4206.69,4159.34,4191.2,7146.0,41.0
2021.10.28,16:00:00,4191.08,4193.01,4159.93,4190.04,7536.0,41.0
2021.10.28,17:00:00,4190.54,4192.34,4148.84,4152.04,6071.0,41.0
2021.10.28,18:00:00,4151.94,4195.64,4151.24,4183.51,7224.0,41.0
2021.10.28,19:00:00,4183.51,4232.14,4181.3,4223.44,8499.0,41.0
2021.10.28,20:00:00,4223.74,4224.64,4119.44,4178.44,8004.0,42.0
2021.10.28,21:00:00,4177.84,4268.14,4151.34,4259.04,6857.0,273.0
2021.10.28,22:00:00,4259.04,4294.04,4225.94,4249.82,7869.0,42.0
2021.10.28,23:00:00,4250.01,4263.64,4208.74,4251.34,6895.0,42.0
2021.10.29,00:00:00,4220.24,4456.54,4206.54,4250.86,91464.0,0
2021.10.29,01:00:00,4250.48,4291.07,4243.04,4286.34,6480.0,42.0
2021.10.29,02:00:00,4287.04,4357.32,4265.84,4351.93,6826.0,42.0
2021.10.29,03:00:00,4350.37,4402.76,4337.24,4353.91,7295.0,43.0
2021.10.29,04:00:00,4353.91,4383.24,4350.61,4362.02,6067.0,43.0
2021.10.29,05:00:00,4362.02,4401.76,4356.71,4380.57,7860.0,43.0
2021.10.29,06:00:00,4380.57,4387.65,4336.22,4354.41,5727.0,43.0
2021.10.29,07:00:00,4354.41,4358.16,4303.44,4321.02,4648.0,43.0
2021.10.29,08:00:00,4321.02,4352.17,4309.02,4342.03,5465.0,43.0
2021.10.29,09:00:00,4342.03,4342.03,4285.54,4303.94,4233.0,43.0
2021.10.29,10:00:00,4303.94,4343.17,4289.54,4342.81,5635.0,43.0
2021.10.29,11:00:00,4342.81,4366.73,4323.94,4330.63,6400.0,43.0
2021.10.29,12:00:00,4330.35,4347.9,4310.92,4328.64,5563.0,43.0
2021.10.29,13:00:00,4328.74,4334.91,4276.04,4319.71,3945.0,42.0
2021.10.29,14:00:00,4319.71,4337.67,4292.94,4313.91,3648.0,43.0
2021.10.29,15:00:00,4313.91,4373.94,4296.64,4364.44,5137.0,43.0
2021.10.29,16:00:00,4363.74,4373.14,4325.14,4343.82,5483.0,43.0
2021.10.29,17:00:00,4343.82,4444.64,4338.95,4437.14,5858.0,43.0
2021.10.29,18:00:00,4437.04,4456.74,4405.04,4424.33,4907.0,44.0
2021.10.29,19:00:00,4424.33,4434.85,4413.9,4416.67,6366.0,44.0
2021.10.29,20:00:00,4416.67,4420.4,4362.14,4372.14,5484.0,43.0
2021.10.29,21:00:00,4371.54,4409.34,4342.94,4401.44,4130.0,43.0
2021.10.29,22:00:00,4400.74,4418.99,4389.54,4397.9,6536.0,43.0
2021.10.29,23:00:00,4399.12,4421.0,4386.24,4415.76,2846.0,673.0
2021.10.30,00:00:00,4404.43,4431.6,4230.9,4307.72,98453.0,0
2021.10.31,00:00:00,4314.53,4392.74,4162.88,4265.22,131310.0,0
2021.11.01,00:00:00,4270.19,4379.34,4147.14,4293.07,99912.0,0
2021.11.01,01:00:00,4293.07,4302.21,4270.42,4286.51,8499.0,42.0
2021.11.01,02:00:00,4286.52,4323.44,4277.34,4317.42,8287.0,42.0
2021.11.01,03:00:00,4317.42,4324.72,4293.79,4294.34,6549.0,42.0
2021.11.01,04:00:00,4294.34,4306.27,4191.79,4236.24,7768.0,42.0
2021.11.01,05:00:00,4236.04,4239.99,4175.34,4190.34,6871.0,42.0
2021.11.01,06:00:00,4190.34,4242.04,4147.34,4227.47,7970.0,42.0
2021.11.01,07:00:00,4227.47,4251.99,4220.14,4224.29,4727.0,42.0
2021.11.01,08:00:00,4224.24,4256.74,4197.71,4239.63,2252.0,42.0
2021.11.01,09:00:00,4239.63,4318.94,4239.3,4302.69,5792.0,42.0
2021.11.01,10:00:00,4302.64,4333.91,4294.58,4310.03,3160.0,42.0
2021.11.01,11:00:00,4310.03,4342.35,4309.56,4315.47,2486.0,43.0
2021.11.01,12:00:00,4315.22,4333.84,4314.39,4327.86,2125.0,43.0
2021.11.01,13:00:00,4327.86,4353.19,4307.19,4313.83,2396.0,43.0
2021.11.01,14:00:00,4313.83,4371.04,4313.83,4344.49,2625.0,43.0
2021.11.01,15:00:00,4344.49,4375.39,4336.34,4375.04,2999.0,43.0
2021.11.01,16:00:00,4375.09,4379.54,4308.14,4328.74,3318.0,43.0
2021.11.01,17:00:00,4329.64,4350.94,4325.04,4348.64,2155.0,43.0
2021.11.01,18:00:00,4348.79,4353.64,4292.84,4293.63,2631.0,42.0
2021.11.01,19:00:00,4293.63,4300.89,4266.64,4283.09,3269.0,42.0
2021.11.01,20:00:00,4283.09,4301.54,4263.41,4294.4,2989.0,42.0
2021.11.01,21:00:00,4294.4,4365.54,4277.77,4364.34,3468.0,42.0
2021.11.01,22:00:00,4364.34,4365.44,4298.44,4306.94,3131.0,43.0
2021.11.01,23:00:00,4303.94,4305.13,4276.52,4294.54,2402.0,42.0
2021.11.02,00:00:00,4293.74,4529.14,4276.34,4303.94,61926.0,0
2021.11.02,01:00:00,4303.94,4333.24,4302.98,4317.93,2990.0,43.0
2021.11.02,02:00:00,4317.93,4347.73,4283.52,4309.65,3268.0,42.0
2021.11.02,03:00:00,4309.65,4340.78,4297.5,4319.84,2983.0,43.0
2021.11.02,04:00:00,4319.35,4329.34,4300.89,4306.06,2388.0,43.0
2021.11.02,05:00:00,4306.06,4320.43,4298.59,4318.58,2212.0,43.0
2021.11.02,06:00:00,4318.58,4369.94,4314.31,4361.59,2036.0,43.0
2021.11.02,07:00:00,4361.59,4370.94,4337.64,4366.14,1797.0,43.0
2021.11.02,08:00:00,4365.54,4387.34,4349.44,4374.9,1725.0,43.0
2021.11.02,09:00:00,4374.9,4378.55,4335.87,4338.26,2311.0,43.0
2021.11.02,10:00:00,4338.36,4364.04,4330.14,4350.54,1947.0,43.0
2021.11.02,11:00:00,4350.54,4436.74,4339.64,4425.68,3590.0,43.0
2021.11.02,12:00:00,4425.68,4476.33,4422.88,4441.69,3178.0,44.0
2021.11.02,13:00:00,4441.69,4452.78,4411.8,4412.8,2118.0,44.0
2021.11.02,14:00:00,4412.8,4447.26,4412.8,4435.39,2033.0,44.0
2021.11.02,15:00:00,4435.39,4487.78,4435.39,4487.78,1601.0,44.0
2021.11.02,16:00:00,4487.78,4492.74,4455.49,4466.98,2698.0,44.0
2021.11.02,17:00:00,4466.98,4519.14,4466.98,4511.24,2822.0,44.0
2021.11.02,18:00:00,4511.94,4518.44,4480.64,4498.54,2486.0,45.0
2021.11.02,19:00:00,4498.54,4501.91,4472.87,4474.33,1765.0,44.0
2021.11.02,20:00:00,4474.33,4505.34,4472.88,4494.95,2352.0,44.0
