n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,sequence_code,eligible,status,expect_ci_low,expect_ci_high,expect_se
1,0.004016064257028112,1.0,12.803771294825504,12.803771294825504,,13.571149296839092,-2.6737496829470753,2.0,3.0,0.0,B,PO-PO-PO-PO,False,exploratory,,,
1,0.004016064257028112,0.0,-10.993206871714666,-10.993206871714666,0.0,0.0,-21.177275266917125,4.0,1.0,1.0,B,PO-PO-PO-PA,False,exploratory,,,
1,0.004016064257028112,1.0,16.319918464713794,16.319918464713794,,17.797895583743333,0.0,1.0,4.0,0.0,B,PO-PO-PO-MO,False,exploratory,,,
1,0.004016064257028112,1.0,22.166913484934533,22.166913484934533,,22.78082616461802,-1.7169193522797286,4.0,5.0,0.0,B,PO-PA-PA-TA,False,exploratory,,,
1,0.004016064257028112,0.0,-35.67364256787413,-35.67364256787413,0.0,0.0,-41.29431117566243,5.0,1.0,1.0,B,PO-PO,False,exploratory,,,
1,0.004016064257028112,1.0,36.72175696860233,36.72175696860233,,38.95808887453753,0.0,1.0,4.0,0.0,B,PO-PO-MO-PA,False,exploratory,,,
1,0.004016064257028112,1.0,78.88141923795203,78.88141923795203,,80.84038066987469,0.0,1.0,6.0,0.0,B,PO-PO-TO-PO,False,exploratory,,,
1,0.004016064257028112,1.0,14.703599551944164,14.703599551944164,,15.682351304069208,-7.323591506087801,3.0,6.0,0.0,B,PO-PO-TO-PA,False,exploratory,,,
1,0.004016064257028112,0.0,-26.903844183753645,-26.903844183753645,0.0,0.0,-36.39076190983269,5.0,1.0,1.0,B,PO-RO-MO-RO,False,exploratory,,,
1,0.004016064257028112,1.0,18.485717269368553,18.485717269368553,,21.025475686267626,-4.3164067183836385,2.0,4.0,0.0,B,PO-TO-MO-PA,False,exploratory,,,
